Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,CA,L2,7HNXV02.4HKC,small car,6,N/A,19,28,22,29.0566,6,no
ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,L2,7HNXV02.4HKC,small car,6,N/A,20,28,23,29.9192,7,yes
ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,7ASXV05.9803,small car,6,N/A,10,16,12,15.6559,0,no
ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,7ASXV05.9803,small car,6,N/A,11,18,13,16.9911,1,no
ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,7ASXV05.9803,small car,6,N/A,10,16,12,15.6559,0,no
ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,7ASXV05.9803,small car,6,N/A,11,18,13,16.9911,1,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,7ASXV05.9803,small car,6,N/A,10,16,12,15.6559,0,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,7ASXV05.9803,small car,6,N/A,11,17,13,17.0189,1,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,7ASXV05.9803,small car,6,N/A,10,16,12,15.6559,0,no
ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,7ASXV05.9803,small car,6,N/A,11,17,13,17.0189,1,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,FA,B5,7ASXV04.3305,small car,6,N/A,12,19,15,18.6184,3,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,7ASXV04.3305,small car,6,N/A,13,20,15,19.8474,3,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,CA,L2,7ASXV04.3305,small car,6,N/A,12,19,15,18.6184,3,no
ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,7ASXV04.3305,small car,6,N/A,13,20,15,19.8474,3,no
AUDI A3,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,7ADXV02.0366,station wagon,7,N/A,21,29,24,31.1031,7,yes
AUDI A3,2,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,7ADXV02.0366,station wagon,7,N/A,22,29,25,32.6541,7,yes
AUDI A3,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,7ADXV02.0366,station wagon,6,N/A,21,29,24,31.1031,7,yes
AUDI A3,2,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,7ADXV02.0366,station wagon,6,N/A,22,29,25,32.6541,7,yes
AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7VWXV03.2535,station wagon,6,N/A,18,25,21,27.2385,6,no
AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,7VWXV03.2535,station wagon,6,N/A,18,25,21,27.2385,6,no
AUDI A4,2,(4 cyl),Auto-S6,4WD,Gasoline,CA,U2,7ADXV02.0352,small car,7,N/A,19,27,22,29.0725,6,yes
AUDI A4,2,(4 cyl),Man-6,4WD,Gasoline,CA,U2,7ADXV02.0352,small car,7,N/A,20,28,23,29.6042,7,yes
AUDI A4,2,(4 cyl),Man-6,2WD,Gasoline,CA,U2,7ADXV02.0352,small car,7,N/A,20,31,24,31.4411,7,yes
AUDI A4,2,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,7ADXV02.0352,small car,7,N/A,21,29,24,31.8166,7,yes
AUDI A4,2,(4 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV02.0352,small car,6,N/A,19,27,22,29.0725,6,no
AUDI A4,2,(4 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV02.0352,small car,6,N/A,20,28,23,29.6042,7,yes
AUDI A4,2,(4 cyl),Man-6,2WD,Gasoline,FA,B5,7ADXV02.0352,small car,6,N/A,20,31,24,31.4411,7,yes
AUDI A4,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,7ADXV02.0352,small car,6,N/A,21,29,24,31.8166,7,yes
AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV03.1374,small car,6,N/A,15,25,19,23.9213,5,no
AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV03.1374,small car,6,N/A,17,25,20,25.8782,6,no
AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,B5,7ADXV03.1374,small car,6,N/A,18,27,21,27.8613,6,no
AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,7ADXV03.1374,small car,6,N/A,15,25,19,23.9213,5,no
AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV03.1374,small car,6,N/A,17,25,20,25.8782,6,no
AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,L2,7ADXV03.1374,small car,6,N/A,18,27,21,27.8613,6,no
AUDI A4 Avant,2,(4 cyl),Auto-S6,4WD,Gasoline,CA,U2,7ADXV02.0352,station wagon,7,N/A,19,27,22,29.0725,6,yes
AUDI A4 Avant,2,(4 cyl),Man-6,4WD,Gasoline,CA,U2,7ADXV02.0352,station wagon,7,N/A,20,28,23,29.6042,7,yes
AUDI A4 Avant,2,(4 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV02.0352,station wagon,6,N/A,19,27,22,29.0725,6,no
AUDI A4 Avant,2,(4 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV02.0352,station wagon,6,N/A,20,28,23,29.6042,7,yes
AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV03.1374,station wagon,6,N/A,15,25,19,23.9213,5,no
AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV03.1374,station wagon,6,N/A,17,25,20,25.8782,6,no
AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,7ADXV03.1374,station wagon,6,N/A,15,25,19,23.9213,5,no
AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV03.1374,station wagon,6,N/A,17,25,20,25.8782,6,no
AUDI A4 Cabriolet,2,(4 cyl),Auto-S6,4WD,Gasoline,CA,U2,7ADXV02.0352,small car,7,N/A,19,27,22,29.0725,6,yes
AUDI A4 Cabriolet,2,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,7ADXV02.0352,small car,7,N/A,21,29,24,31.8166,7,yes
AUDI A4 Cabriolet,2,(4 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV02.0352,small car,6,N/A,19,27,22,29.0725,6,no
AUDI A4 Cabriolet,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,7ADXV02.0352,small car,6,N/A,21,29,24,31.8166,7,yes
AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV03.1374,small car,6,N/A,17,25,20,25.8782,6,no
AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV03.1374,small car,6,N/A,17,25,20,25.8782,6,no
AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV03.1374,midsize car,6,N/A,17,25,20,25.8782,6,no
AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,B5,7ADXV03.1374,midsize car,6,N/A,18,27,21,27.8613,6,no
AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV03.1374,midsize car,6,N/A,17,25,20,25.8782,6,no
AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,L2,7ADXV03.1374,midsize car,6,N/A,18,27,21,27.8613,6,no
AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV04.2365,midsize car,6,N/A,16,23,18,23.8474,5,no
AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV04.2365,midsize car,6,N/A,16,23,18,23.8474,5,no
AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV03.1374,station wagon,6,N/A,17,25,20,25.8782,6,no
AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV03.1374,station wagon,6,N/A,17,25,20,25.8782,6,no
AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV04.2365,midsize car,6,N/A,16,23,18,23.8474,5,no
AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV04.2365,midsize car,6,N/A,16,23,18,23.8474,5,no
AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV04.2365,large car,6,N/A,16,23,18,23.8474,5,no
AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV04.2365,large car,6,N/A,16,23,18,23.8474,5,no
AUDI A8 L,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV06.0359,large car,6,N/A,13,19,15,19.4382,3,no
AUDI A8 L,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV06.0359,large car,6,N/A,13,19,15,19.4382,3,no
AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7VWXT03.6276,SUV,6,N/A,14,18,16,20.2246,4,no
AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,7VWXT03.6276,SUV,6,N/A,14,18,16,20.2246,4,no
AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXT04.2358,SUV,6,N/A,12,17,14,18.1837,2,no
AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXT04.2358,SUV,6,N/A,12,17,14,18.1837,2,no
AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV04.2375,small car,6,N/A,13,20,15,19.2428,3,no
AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,7ADXV04.2375,small car,6,N/A,13,20,15,19.2428,3,no
AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV04.2355,small car,6,N/A,13,20,15,19.862,3,no
AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV04.2355,small car,6,N/A,14,21,16,20.927,4,no
AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,7ADXV04.2355,small car,6,N/A,13,20,15,19.862,3,no
AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV04.2355,small car,6,N/A,14,21,16,20.927,4,no
AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV04.2355,station wagon,6,N/A,13,20,15,19.862,3,no
AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV04.2355,station wagon,6,N/A,14,21,16,20.739,4,no
AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,7ADXV04.2355,station wagon,6,N/A,13,20,15,19.862,3,no
AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV04.2355,station wagon,6,N/A,14,21,16,20.739,4,no
AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,7ADXV04.2355,small car,6,N/A,13,19,15,19.6261,3,no
AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV04.2355,small car,6,N/A,14,21,16,20.739,4,no
AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,7ADXV04.2355,small car,6,N/A,13,19,15,19.6261,3,no
AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV04.2355,small car,6,N/A,14,21,16,20.739,4,no
AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV05.2385,midsize car,6,N/A,14,19,16,20.4789,4,no
AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV05.2385,midsize car,6,N/A,14,19,16,20.4789,4,no
AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,B5,7ADXV05.2385,midsize car,6,N/A,13,19,15,19.0325,3,no
AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,L2,7ADXV05.2385,midsize car,6,N/A,13,19,15,19.0325,3,no
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BEXV06.7TTC,large car,6,N/A,10,14,11,14.257,0,no
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BEXV06.7TTC,midsize car,6,N/A,10,15,11,14.4463,0,no
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,7BEXV06.7TTC,large car,6,N/A,10,14,11,14.257,0,no
BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,7BEXV06.7TTC,midsize car,6,N/A,10,15,11,14.4463,0,no
BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BEXV06.7TTC,small car,6,N/A,10,15,11,14.4463,0,no
BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,7BEXV06.7TTC,small car,6,N/A,10,15,11,14.4463,0,no
BENTLEY Continental Flying Spur,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BEXV06.0501,midsize car,6,N/A,10,17,13,15.8652,1,no
BENTLEY Continental Flying Spur,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,7BEXV06.0501,midsize car,6,N/A,10,17,13,15.8652,1,no
BENTLEY Continental GT,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BEXV06.0501,small car,6,N/A,10,17,13,16.1613,1,no
BENTLEY Continental GT,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,7BEXV06.0501,small car,6,N/A,10,17,13,16.1613,1,no
BENTLEY Continental GTC,6,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BEXV06.0501,small car,6,N/A,10,17,13,15.8652,1,no
BENTLEY Continental GTC,6,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,7BEXV06.0501,small car,6,N/A,10,17,13,15.8652,1,no
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,18,28,21,27.7938,6,yes
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,18,28,22,28.1824,6,yes
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,18,28,21,27.7938,6,yes
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,18,28,22,28.1824,6,yes
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,7BMXV03.0N5N,small car,7,N/A,18,28,22,28.1824,6,yes
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,18,28,21,27.7938,6,no
BMW 328ci,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,18,28,21,27.7938,6,no
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,18,28,22,28.1824,6,no
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,18,28,22,28.1824,6,no
BMW 328ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N5N,small car,6,N/A,18,28,22,28.1824,6,no
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,17,27,21,26.857,6,yes
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,18,27,21,27.4209,6,yes
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,17,27,21,26.857,6,yes
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,18,27,21,27.4209,6,yes
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,17,27,21,26.857,6,no
BMW 328ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,17,27,21,26.857,6,no
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,18,27,21,27.4209,6,no
BMW 328ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,18,27,21,27.4209,6,no
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,17,25,20,26.2998,6,yes
BMW 328cxi,3,(6 cyl),Man-6,4WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,17,26,20,25.9188,6,yes
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,17,25,20,26.2998,6,yes
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,7BMXV03.0N5N,small car,7,N/A,17,25,20,26.2998,6,yes
BMW 328cxi,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,17,26,20,25.9188,6,yes
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,17,25,20,26.2998,6,no
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,17,25,20,26.2998,6,no
BMW 328cxi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BMXV03.0N5N,small car,6,N/A,17,25,20,26.2998,6,no
BMW 328cxi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,17,26,20,25.9188,6,no
BMW 328cxi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,17,26,20,25.9188,6,no
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,18,28,21,27.7938,6,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,18,28,22,28.1824,6,yes
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,18,28,21,27.7938,6,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,18,28,22,28.1824,6,yes
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,7BMXV03.0N5N,small car,7,N/A,18,28,22,28.1824,6,yes
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,18,28,21,27.7938,6,no
BMW 328i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,18,28,21,27.7938,6,no
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,18,28,22,28.1824,6,no
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,18,28,22,28.1824,6,no
BMW 328i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N5N,small car,6,N/A,18,28,22,28.1824,6,no
BMW 328i Sport Wagon,3,(6 cyl),Man-6,2WD,Gasoline,CA,U2,7BMXB03.0N52,station wagon,7,N/A,17,27,21,26.857,6,yes
BMW 328i Sport Wagon,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,7BMXB03.0N52,station wagon,7,N/A,18,27,21,27.4209,6,yes
BMW 328i Sport Wagon,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXB03.0N52,station wagon,6,N/A,17,27,21,26.857,6,no
BMW 328i Sport Wagon,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXB03.0N52,station wagon,6,N/A,18,27,21,27.4209,6,no
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,17,25,20,26.2998,6,yes
BMW 328xi,3,(6 cyl),Man-6,4WD,Gasoline,CA,S2,7BMXV03.0N51,small car,9.5,N/A,17,26,20,25.9188,6,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,17,25,20,26.2998,6,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,7BMXV03.0N5N,small car,7,N/A,17,25,20,26.2998,6,yes
BMW 328xi,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,7BMXB03.0N52,small car,7,N/A,17,26,20,25.9188,6,yes
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,17,25,20,26.2998,6,no
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,17,25,20,26.2998,6,no
BMW 328xi,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BMXV03.0N5N,small car,6,N/A,17,25,20,26.2998,6,no
BMW 328xi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,7BMXB03.0N52,small car,6,N/A,17,26,20,25.9188,6,no
BMW 328xi,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,7BMXV03.0N51,small car,6,N/A,17,26,20,25.9188,6,no
BMW 328xi Sport Wagon,3,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,7BMXB03.0N52,station wagon,7,N/A,17,25,20,26.2998,6,yes
BMW 328xi Sport Wagon,3,(6 cyl),Man-6,4WD,Gasoline,CA,U2,7BMXB03.0N52,station wagon,7,N/A,17,26,20,25.9188,6,yes
BMW 328xi Sport Wagon,3,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,7BMXB03.0N52,station wagon,6,N/A,17,25,20,26.2998,6,no
BMW 328xi Sport Wagon,3,(6 cyl),Man-6,4WD,Gasoline,FA,B5,7BMXB03.0N52,station wagon,6,N/A,17,26,20,25.9188,6,no
BMW 335ci,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXV03.0N54,small car,6,N/A,17,26,20,26.1442,6,no
BMW 335ci,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N54,small car,6,N/A,18,26,21,27.0489,6,no
BMW 335ci,3,(6 cyl),Man-6,2WD,Gasoline,CA,L2,7BMXV03.0N54,small car,6,N/A,17,26,20,26.1442,6,no
BMW 335ci,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,7BMXV03.0N54,small car,6,N/A,18,26,21,27.0489,6,no
BMW 335ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXV03.0N54,small car,6,N/A,17,26,20,26.1442,6,no
BMW 335ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N54,small car,6,N/A,18,26,21,27.0489,6,no
BMW 335ci Convertible,3,(6 cyl),Man-6,2WD,Gasoline,CA,L2,7BMXV03.0N54,small car,6,N/A,17,26,20,26.1442,6,no
BMW 335ci Convertible,3,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,7BMXV03.0N54,small car,6,N/A,18,26,21,27.0489,6,no
BMW 335i,3,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7BMXV03.0N54,small car,6,N/A,17,26,20,26.1442,6,no
BMW 335i,3,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,7BMXV03.0N54,small car,6,N/A,18,26,21,27.0489,6,no
BMW 335i,3,(6 cyl),Man-6,2WD,Gasoline,CA,L2,7BMXV03.0N54,small car,6,N/A,17,26,20,26.1442,6,no
