Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,7HNXT03.7XKR,SUV,7,N/A,15,20,17,22.0527,4,no
ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,7HNXT03.7XKR,SUV,6,N/A,15,20,17,22.0527,4,no
ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,CA,U2,7HNXT02.3DKC,SUV,7,N/A,17,22,19,24.1745,5,no
ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,FA,B5,7HNXT02.3DKC,SUV,6,N/A,17,22,19,24.1745,5,no
ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,7HNXV03.5NKR,midsize car,7,N/A,16,24,19,24.5629,5,no
ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,7HNXV03.5NKR,midsize car,6,N/A,16,24,19,24.5629,5,no
ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,7HNXV03.5NKR,midsize car,7,N/A,18,26,21,27.2768,6,yes
ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,7HNXV03.5PKR,midsize car,7,N/A,17,26,20,25.9414,6,yes
ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,7HNXV03.5PKR,midsize car,7,N/A,18,27,21,27.569,6,yes
ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,7HNXV03.5NKR,midsize car,6,N/A,18,26,21,27.2768,6,no
ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,7HNXV03.5PKR,midsize car,6,N/A,17,26,20,25.9414,6,no
ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,FA,B5,7HNXV03.5PKR,midsize car,6,N/A,18,27,21,27.569,6,no
ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,FA,B5,7HNXV02.4HKC,small car,6,N/A,19,28,22,29.0566,6,no
ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,7HNXV02.4HKC,small car,6,N/A,20,28,23,29.9192,7,yes
