Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA 3.2CL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,ULEV,1HNXV03.2K88,small car,3,N/A,17,27,20,26.5084,6,no
ACURA 3.2CL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,NL,LEV,1HNXV03.2H7A,small car,2,N/A,17,27,20,26.5084,6,no
ACURA 3.2CL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,LEV,1HNXV03.2K5U,small car,2,N/A,17,27,20,26.5084,6,no
ACURA 3.2TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,ULEV,1HNXV03.2K88,midsize car,3,N/A,17,27,20,26.4066,6,no
ACURA 3.2TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,NL,LEV,1HNXV03.2H7A,midsize car,2,N/A,17,27,20,26.4066,6,no
ACURA 3.5RL,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1HNXV03.5A5U,midsize car,2,N/A,16,22,18,23.1987,5,no
ACURA Integra,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,T1,1HNXV01.8512,small car,1,N/A,22,28,24,31.9326,7,no
ACURA Integra,1.8,(4 cyl),Auto-L4,2WD,Gasoline,CL,TLEV,1HNXV01.833E,small car,1,N/A,21,28,23,30.7619,7,no
ACURA Integra,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,TLEV,1HNXV01.843E,small car,1,N/A,22,28,24,31.9326,7,no
ACURA Integra,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,TLEV,1HNXV01.833E,small car,1,N/A,22,28,24,32.3108,7,no
ACURA MDX,3.5,(6 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,1HNXT03.5K86,SUV,2,N/A,15,21,17,22.57,4,no
ACURA NSX,3,(6 cyl),Auto-S4,2WD,Gasoline,CL,LEV,1HNXV03.215U,small car,2,N/A,15,22,18,22.9121,5,no
ACURA NSX,3.2,(6 cyl),Man-6,2WD,Gasoline,CL,LEV,1HNXV03.215U,small car,2,N/A,15,22,18,22.6171,5,no
AUDI A4,1.8,(4 cyl),Auto-S5,4WD,Gasoline,CL,ULEV,1ADXV01.8342,small car,3,N/A,18,25,20,26.3187,6,no
AUDI A4,1.8,(4 cyl),Auto-S5,2WD,Gasoline,CL,ULEV,1ADXV01.8342,small car,3,N/A,18,26,21,27.0446,6,no
AUDI A4,1.8,(4 cyl),Man-5,4WD,Gasoline,CL,ULEV,1ADXV01.8342,small car,3,N/A,19,27,22,28.923,6,no
AUDI A4,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,ULEV,1ADXV01.8342,small car,3,N/A,20,29,23,30.3867,7,no
AUDI A4,2.8,(6 cyl),Man-5,4WD,Gasoline,CL,LEV,1ADXV02.8334,small car,2,N/A,16,22,19,24.0987,5,no
AUDI A4,2.8,(6 cyl),Auto-S5,4WD,Gasoline,CL,LEV,1ADXV02.8334,small car,2,N/A,16,23,18,23.7183,5,no
AUDI A4,2.8,(6 cyl),Auto-S5,2WD,Gasoline,CL,LEV,1ADXV02.8334,small car,2,N/A,16,24,19,24.2985,5,no
AUDI A4 Avant,1.8,(4 cyl),Auto-S5,4WD,Gasoline,CL,ULEV,1ADXV01.8342,station wagon,3,N/A,18,25,20,26.3187,6,no
AUDI A4 Avant,1.8,(4 cyl),Man-5,4WD,Gasoline,CL,ULEV,1ADXV01.8342,station wagon,3,N/A,19,27,22,28.923,6,no
AUDI A4 Avant,2.8,(6 cyl),Auto-S5,4WD,Gasoline,CL,LEV,1ADXV02.8334,station wagon,2,N/A,15,22,18,22.8314,5,no
AUDI A4 Avant,2.8,(6 cyl),Man-5,4WD,Gasoline,CL,LEV,1ADXV02.8334,station wagon,2,N/A,16,22,19,24.0987,5,no
AUDI A6,2.8,(6 cyl),Auto-S5,4WD,Gasoline,CL,LEV,1ADXV02.8334,midsize car,2,N/A,15,22,18,22.8314,5,no
AUDI A6,2.8,(6 cyl),Auto-S5,2WD,Gasoline,CL,LEV,1ADXV02.8334,midsize car,2,N/A,16,23,18,23.6358,5,no
