Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
AUDI A6,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,LEV,1ADXV04.2345,midsize car,2,N/A,15,23,18,23.1903,5,no
AUDI A6,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,1ADXV02.7333,midsize car,1,N/A,15,22,18,22.9723,5,no
AUDI A6,2.7,(6 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,1ADXV02.7333,midsize car,1,N/A,16,22,18,23.2018,5,no
AUDI A6 Avant,2.8,(6 cyl),Auto-S5,4WD,Gasoline,CL,LEV,1ADXV02.8334,station wagon,2,N/A,15,22,18,22.8314,5,no
AUDI A8,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,LEV,1ADXV04.2345,midsize car,2,N/A,15,23,18,23.1903,5,no
AUDI A8 L,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,LEV,1ADXV04.2345,large car,2,N/A,15,23,18,23.178,5,no
AUDI Allroad,2.7,(6 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,1ADXV02.7333,SUV,1,N/A,14,19,16,20.2182,4,no
AUDI Allroad,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,1ADXV02.7333,SUV,1,N/A,14,19,16,20.7883,4,no
AUDI S4,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,1ADXV02.7333,small car,1,N/A,15,22,18,22.9723,5,no
AUDI S4,2.7,(6 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,1ADXV02.7333,small car,1,N/A,16,22,18,23.2018,5,no
AUDI S4 Avant,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,1ADXV02.7333,station wagon,1,N/A,15,22,18,22.9723,5,no
AUDI S4 Avant,2.7,(6 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,1ADXV02.7333,station wagon,1,N/A,16,22,18,23.2018,5,no
AUDI S8,4.2,(8 cyl),Auto-L5,4WD,Gasoline,CL,TLEV,1ADXV04.2335,midsize car,1,N/A,13,20,15,19.8136,3,no
AUDI TT Coupe,1.8,(4 cyl),Man-5,4WD,Gasoline,CL,LEV,1ADXV01.8347,small car,2,N/A,18,26,21,27.2494,6,no
AUDI TT Coupe,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,1ADXV01.8346,small car,2,N/A,20,29,23,29.8109,7,no
AUDI TT Coupe,1.8,(4 cyl),Man-6,4WD,Gasoline,CL,TLEV,1ADXV01.8336,small car,1,N/A,18,26,21,26.7904,6,no
AUDI TT Coupe,1.8,(4 cyl),Man-5,4WD,Gasoline,CL,TLEV,1ADXV01.8336,small car,1,N/A,18,26,21,27.2494,6,no
AUDI TT Coupe,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,TLEV,1ADXV01.8336,small car,1,N/A,20,29,23,29.8109,7,no
AUDI TT Roadster,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,1ADXV01.8346,small car,2,N/A,19,27,22,29.0148,6,no
AUDI TT Roadster,1.8,(4 cyl),Man-6,4WD,Gasoline,CL,TLEV,1ADXV01.8336,small car,1,N/A,18,26,21,26.7904,6,no
AUDI TT Roadster,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,TLEV,1ADXV01.8336,small car,1,N/A,19,27,22,29.0148,6,no
BENTLEY Arnage,6.8,(8 cyl),Auto-L4,2WD,Gasoline,CL,T1,1RRXV06.7TUR,midsize car,1,N/A,10,15,12,14.9614,0,no
BENTLEY Azure,6.8,(8 cyl),Auto-L4,2WD,Gasoline,CL,T1,1RRXV06.7TUR,small car,1,N/A,10,15,12,15.2185,0,no
BENTLEY Continental R,6.8,(8 cyl),Auto-L4,2WD,Gasoline,CL,T1,1RRXV06.7TUR,small car,1,N/A,10,15,12,14.9614,0,no
BENTLEY Continental SC,6.8,(8 cyl),Auto-L4,2WD,Gasoline,CL,T1,1RRXV06.7TUR,small car,1,N/A,10,15,12,14.9614,0,no
BENTLEY Continental T,6.8,(8 cyl),Auto-L4,2WD,Gasoline,CL,T1,1RRXV06.7TUR,small car,1,N/A,10,15,12,14.9614,0,no
BMW 325ci,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,25,20,25.6734,6,no
BMW 325ci,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,18,27,21,27.5423,6,no
BMW 325ci Convertible,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,24,19,24.9127,5,no
BMW 325ci Convertible,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,24,20,25.2824,6,no
BMW 325i,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,25,20,25.6734,6,no
BMW 325i,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,18,27,21,27.5423,6,no
BMW 325i Sport Wagon,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,station wagon,2,N/A,17,25,20,25.6734,6,no
BMW 325i Sport Wagon,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV03.0LER,station wagon,2,N/A,17,25,20,25.6734,6,no
BMW 325i Sport Wagon,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,station wagon,2,N/A,18,27,21,27.5423,6,no
BMW 325xi,2.5,(6 cyl),Auto-L5,4WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,23,19,24.884,5,no
BMW 325xi,2.5,(6 cyl),Man-5,4WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,25,20,26.0205,6,no
BMW 325xi Sport Wagon,2.5,(6 cyl),Auto-L5,4WD,Gasoline,NF,LEV,1BMXV02.5M54,station wagon,2,N/A,17,23,19,24.884,5,no
BMW 325xi Sport Wagon,2.5,(6 cyl),Man-5,4WD,Gasoline,NF,LEV,1BMXV02.5M54,station wagon,2,N/A,17,24,20,25.3682,6,no
BMW 330ci,3,(6 cyl),Auto-S5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,17,25,20,25.7976,6,no
BMW 330ci,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,18,27,21,27.9756,6,no
BMW 330ci Convertible,3,(6 cyl),Auto-S5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,16,24,19,24.2667,5,no
BMW 330ci Convertible,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,17,26,20,26.5365,6,no
BMW 330i,3,(6 cyl),Auto-S5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,17,25,20,25.7976,6,no
BMW 330i,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,18,27,21,27.9756,6,no
BMW 330xi,3,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,1BMXV03.0LEV,small car,2,N/A,16,23,18,23.4815,5,no
BMW 330xi,3,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV03.0LEV,small car,2,N/A,18,25,20,26.3894,6,no
BMW 525i,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,25,20,25.6734,6,no
BMW 525i,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV03.0LER,small car,2,N/A,17,25,20,25.6734,6,no
BMW 525i,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,18,27,21,27.5423,6,no
BMW 525i Sport Wagon,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,station wagon,2,N/A,17,24,19,24.9127,5,no
BMW 525i Sport Wagon,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV03.0LER,station wagon,2,N/A,17,24,19,24.9127,5,no
BMW 525i Sport Wagon,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,station wagon,2,N/A,17,24,20,25.2824,6,no
BMW 530i,3,(6 cyl),Auto-S5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,16,24,19,24.2667,5,no
BMW 530i,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,18,27,21,27.9756,6,no
BMW 540i,4.4,(8 cyl),Auto-S5,2WD,Gasoline,NF,LEV,1BMXV04.4LEV,small car,2,N/A,14,19,16,20.4979,4,no
BMW 540i,4.4,(8 cyl),Man-6,2WD,Gasoline,NF,LEV,1BMXV04.4LEV,small car,2,N/A,14,21,16,21.0902,4,no
BMW 540i,4.4,(8 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV04.4LEV,small car,2,N/A,16,22,18,23.7738,5,no
BMW 540i Sport Wagon,4.4,(8 cyl),Auto-S5,2WD,Gasoline,NF,LEV,1BMXV04.4LEV,station wagon,2,N/A,14,19,16,20.4979,4,no
BMW 740i,4.4,(8 cyl),Auto-S5,2WD,Gasoline,NF,LEV,1BMXV04.4LEV,midsize car,2,N/A,14,19,16,20.1901,4,no
BMW 740i,4.4,(8 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV04.4LEV,midsize car,2,N/A,15,22,18,22.6755,5,no
BMW 740il,4.4,(8 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV04.4LEV,large car,2,N/A,15,22,18,22.6743,5,no
BMW 750il,5.4,(12 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV05.4LEV,large car,2,N/A,12,18,14,18.1385,2,no
BMW M Coupe,3.2,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV03.2S54,small car,2,N/A,15,23,18,23.2929,5,no
BMW M Roadster,3.2,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV03.2S54,small car,2,N/A,15,23,18,23.2929,5,no
BMW M3,3.2,(6 cyl),Man-6,2WD,Gasoline,NF,LEV,1BMXV03.2S54,small car,2,N/A,15,22,17,22.1638,4,no
BMW M3 Convertible,3.2,(6 cyl),Man-6,2WD,Gasoline,NF,LEV,1BMXV03.2S54,small car,2,N/A,14,21,17,21.4314,4,no
BMW M5,4.9,(8 cyl),Man-6,2WD,Gasoline,CL,TLEV,1BMXV04.9S62,small car,1,N/A,12,19,15,18.5963,3,no
BMW X5,3,(6 cyl),Man-5,4WD,Gasoline,CA,ULEV,1BMXT03.0E53,SUV,1,N/A,14,19,16,19.93,4,no
BMW X5,3,(6 cyl),Auto-S5,4WD,Gasoline,CA,ULEV,1BMXT03.0E53,SUV,1,N/A,14,19,16,20.2053,4,no
BMW X5,3,(6 cyl),Man-5,4WD,Gasoline,CA,ULEV,1BMXT03.0E5R,SUV,1,N/A,14,19,16,20.2177,4,no
BMW X5,3,(6 cyl),Auto-S5,4WD,Gasoline,CA,ULEV,1BMXT03.0E5R,SUV,1,N/A,14,19,16,20.3127,4,no
BMW X5,4.4,(8 cyl),Auto-S5,4WD,Gasoline,CA,LEV,1BMXT04.4E53,SUV,1,N/A,12,16,14,17.4521,2,no
BMW X5,3,(6 cyl),Man-5,4WD,Gasoline,FA,T1,1BMXT03.0E53,SUV,0,N/A,14,19,16,19.93,4,no
BMW X5,3,(6 cyl),Auto-S5,4WD,Gasoline,FA,T1,1BMXT03.0E53,SUV,0,N/A,14,19,16,20.2053,4,no
BMW X5,3,(6 cyl),Man-5,4WD,Gasoline,FA,T1,1BMXT03.0E5R,SUV,0,N/A,14,19,16,20.2177,4,no
BMW X5,3,(6 cyl),Auto-S5,4WD,Gasoline,FA,T1,1BMXT03.0E5R,SUV,0,N/A,14,19,16,20.3127,4,no
BMW X5,4.4,(8 cyl),Auto-S5,4WD,Gasoline,FA,T1,1BMXT04.4E53,SUV,0,N/A,12,16,14,17.4521,2,no
BMW Z3 Coupe,3,(6 cyl),Auto-S5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,17,25,20,25.7976,6,no
BMW Z3 Coupe,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,19,26,21,27.8164,6,no
BMW Z3 Roadster,3,(6 cyl),Auto-S5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,17,23,19,24.7573,5,no
BMW Z3 Roadster,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,1BMXV03.0M54,small car,3,N/A,19,26,21,27.8164,6,no
BMW Z3 Roadster,2.5,(6 cyl),Auto-L5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,17,24,20,25.5414,6,no
BMW Z3 Roadster,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,1BMXV02.5M54,small car,2,N/A,18,25,20,26.4684,6,no
BMW Z8,4.9,(8 cyl),Man-6,2WD,Gasoline,CL,TLEV,1BMXV04.9S62,small car,1,N/A,12,19,15,18.5963,3,no
BUICK Century,3.1,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.8043,midsize car,2,N/A,18,26,21,27.4168,6,no
BUICK LeSabre,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,1GMXV03.8044,large car,3,N/A,17,27,20,26.5508,6,no
BUICK LeSabre,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.8043,large car,2,N/A,17,27,20,26.5508,6,no
BUICK Park Avenue,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,1GMXV03.8044,large car,3,N/A,17,27,20,26.5508,6,no
BUICK Park Avenue,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.8043,large car,2,N/A,16,26,20,25.3151,6,no
BUICK Park Avenue,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.8043,large car,2,N/A,17,27,20,26.5508,6,no
BUICK Regal,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,1GMXV03.8044,midsize car,3,N/A,17,28,21,27.0023,6,no
BUICK Regal,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.8043,midsize car,2,N/A,16,26,20,25.3151,6,no
BUICK Regal,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.8043,midsize car,2,N/A,17,28,21,27.0023,6,no
CADILLAC Catera,3,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.0061,midsize car,2,N/A,16,22,18,23.2783,5,no
CADILLAC Deville,4.6,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV04.6065,large car,2,N/A,15,25,18,23.6786,5,no
CADILLAC Eldorado,4.6,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV04.6065,midsize car,2,N/A,15,25,18,23.6786,5,no
CADILLAC Seville,4.6,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV04.6065,midsize car,2,N/A,15,25,18,23.6786,5,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,CL,LEV,1GMXT04.3187,van,1,N/A,14,18,15,19.8962,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,FA+CF,LEV,1GMXT04.3188,van,1,N/A,14,18,15,19.8962,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXT04.3187,van,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,1GMXT04.3188,van,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXT04.3187,van,1,N/A,15,20,17,21.3629,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,1GMXT04.3188,van,1,N/A,15,20,17,21.3629,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,CA,ULEV,1GMXA04.3189,van,1,N/A,14,18,15,19.8962,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,CA,ULEV,1GMXA04.3189,van,1,N/A,13,17,15,19.1254,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,FA,T1,1GMXT04.3181,van,0,N/A,14,18,15,19.8962,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,FA,T1,1GMXT04.3181,van,0,N/A,13,17,15,19.1254,3,no
CHEVROLET Blazer,4.3,(6 cyl),Man-5,2WD,Gasoline,CL,LEV,1GMXT04.3187,SUV,1,N/A,14,20,16,21.1831,4,no
CHEVROLET Blazer,4.3,(6 cyl),Man-5,2WD,Gasoline,FA+CF,LEV,1GMXT04.3188,SUV,1,N/A,14,20,16,21.1831,4,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXT04.3187,SUV,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,1GMXT04.3188,SUV,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Blazer,4.3,(6 cyl),Man-5,4WD,Gasoline,CL,LEV,1GMXT04.3187,SUV,1,N/A,13,16,14,18.6073,2,no
CHEVROLET Blazer,4.3,(6 cyl),Man-5,4WD,Gasoline,FA+CF,LEV,1GMXT04.3188,SUV,1,N/A,13,16,14,18.6073,2,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,4WD,Gasoline,CL,LEV,1GMXT04.3187,SUV,1,N/A,14,18,15,19.8962,3,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,4WD,Gasoline,FA+CF,LEV,1GMXT04.3188,SUV,1,N/A,14,18,15,19.8962,3,no
CHEVROLET Camaro,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV03.8043,small car,2,N/A,17,28,21,26.9057,6,no
CHEVROLET Camaro,3.8,(6 cyl),Man-5,2WD,Gasoline,CL,LEV,1GMXV03.8043,small car,2,N/A,17,29,21,26.8867,6,no
CHEVROLET Camaro,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV05.7081,small car,2,N/A,16,24,19,24.361,5,no
CHEVROLET Camaro,5.7,(8 cyl),Man-6,2WD,Gasoline,CL,LEV,1GMXV05.7081,small car,2,N/A,17,26,20,26.0337,6,no
CHEVROLET Cavalier,2.2,(4 cyl),Auto-L3,2WD,Gasoline,CL,LEV,1GMXV02.4022,small car,2,N/A,20,27,23,30.0716,7,no
CHEVROLET Cavalier,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV02.4022,small car,2,N/A,21,29,24,31.2028,7,no
CHEVROLET Cavalier,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV02.4022,small car,2,N/A,18,26,21,27.5408,6,no
CHEVROLET Cavalier,2.4,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,1GMXV02.4022,small car,2,N/A,19,29,23,29.7973,7,no
CHEVROLET Cavalier,2.2,(4 cyl),Man-5,2WD,Gasoline,CL,TLEV,1GMXV02.2024,small car,1,N/A,20,30,24,30.983,7,no
CHEVROLET Cavalier Dual-Fuel,2.2,(4 cyl),Auto-4,2WD,CNG/gas,CA,LEV,1TJXV02.2022,small car,2/2,N/A,18/20,25/28,21/23,27.1163,7/7,no
CHEVROLET Corvette,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,1GMXV05.7081,small car,2,N/A,16,24,19,24.3659,5,no
CHEVROLET Corvette,5.7,(8 cyl),Man-6,2WD,Gasoline,CL,LEV,1GMXV05.7081,small car,2,N/A,17,26,20,26.0713,6,no
CHEVROLET Express 1500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CA,LEV,1GMXA04.3192,van,1,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 1500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,1GMXT04.3193,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 1500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA,T1,1GMXT04.3185,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 1500,5,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,1GMXT05.0182,van,0,N/A,13,16,14,17.9359,2,no
CHEVROLET Express 1500,5,(8 cyl),Auto-L4,2WD,Gasoline,CA,T1,1GMXT05.0182,van,0,N/A,13,16,14,17.9359,2,no
CHEVROLET Express 1500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,1GMXT05.7195,van,0,N/A,12,16,13,17.0171,1,no
CHEVROLET Express 1500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CA,LEV,1GMXA06.0194,van,0,N/A,12,16,13,17.0171,1,no
CHEVROLET Express 1500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,1GMXT06.0187,van,0,N/A,12,16,13,17.0171,1,no
CHEVROLET Express 2500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CA,LEV,1GMXA04.3192,van,1,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 2500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,1GMXT04.3193,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 2500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA,T1,1GMXT04.3185,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 2500,5,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,1GMXT05.0182,van,0,N/A,13,16,14,17.9359,2,no
CHEVROLET Express 2500,5,(8 cyl),Auto-L4,2WD,Gasoline,CA,T1,1GMXT05.0182,van,0,N/A,13,16,14,17.9359,2,no
CHEVROLET Express 2500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,1GMXT05.7195,van,0,N/A,12,16,13,17.0171,1,no
CHEVROLET Express 2500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CA,LEV,1GMXA06.0194,van,0,N/A,12,16,13,17.0171,1,no
CHEVROLET Express 2500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,1GMXT06.0187,van,0,N/A,12,16,13,17.0171,1,no
CHEVROLET Express 2500 Dual-Fuel,5.7,,,,CNG/gas,CA,LEV,1TJXT05.7188,van,0/0,N/A,N/A,N/A,N/A,N/A,N/A,no
CHEVROLET Express 3500,5.7,,,,Gasoline,CA,LEV,1GMXA06.0188,van,0,N/A,N/A,N/A,N/A,N/A,N/A,no
CHEVROLET Express 3500,6,,,,Gasoline,CA,LEV,1GMXA06.0188,van,0,N/A,N/A,N/A,N/A,N/A,N/A,no
