Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA 3.2CL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,ULEV,2HNXV03.2HYT,small car,3,N/A,17,27,21,26.7188,6,no
ACURA 3.2CL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,LEV,2HNXV03.2JYC,small car,2,N/A,17,27,21,26.7188,6,no
ACURA 3.2CL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,LEV,2HNXV03.2X21,small car,2,N/A,17,27,21,26.7188,6,no
ACURA 3.2TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,ULEV,2HNXV03.2HYT,midsize car,3,N/A,17,27,21,26.7309,6,no
ACURA 3.2TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,LEV,2HNXV03.2JYC,midsize car,2,N/A,17,27,21,26.7309,6,no
ACURA 3.2TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CL,LEV,2HNXV03.2X21,midsize car,2,N/A,17,27,21,26.7309,6,no
ACURA 3.5RL,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2HNXV03.5BYC,midsize car,2,N/A,16,22,18,23.2252,5,no
ACURA MDX,3.5,(6 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,2HNXT03.5KYT,SUV,2,N/A,15,21,17,22.6222,4,no
ACURA NSX,3,(6 cyl),Auto-S4,2WD,Gasoline,CL,LEV,2HNXV03.2AYC,small car,2,N/A,15,22,18,22.9121,5,no
ACURA NSX,3.2,(6 cyl),Man-6,2WD,Gasoline,CL,LEV,2HNXV03.2AYC,small car,2,N/A,15,22,18,22.6171,5,no
ACURA RSX,2,(4 cyl),Man-6,2WD,Gasoline,CL,LEV,2HNXV02.0EKC,small car,6,N/A,21,28,24,31.597,7,yes
ACURA RSX,2,(4 cyl),Auto-S5,2WD,Gasoline,CL,LEV,2HNXV02.0VBP,small car,6,N/A,21,30,24,32.0258,7,yes
ACURA RSX,2,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,2HNXV02.0VBP,small car,6,N/A,23,30,26,34.1351,8,yes
ASTON MARTIN Vanquish,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CL,LEV,2ASXX05.9V03,small car,2,N/A,11,18,13,17.0042,1,no
AUDI A4,1.8,(4 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,2ADXV01.8342,small car,3,N/A,17,26,20,26.1596,6,no
AUDI A4,1.8,(4 cyl),Auto-AV,2WD,Gasoline,CL,ULEV,2ADXV01.8342,small car,3,N/A,18,26,21,27.3349,6,no
AUDI A4,1.8,(4 cyl),Man-5,4WD,Gasoline,CL,ULEV,2ADXV01.8342,small car,3,N/A,18,26,21,27.8234,6,no
AUDI A4,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,ULEV,2ADXV01.8342,small car,3,N/A,20,29,23,29.7799,7,no
AUDI A4,3,(6 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,2ADXV03.0344,small car,3,N/A,15,23,18,23.4859,5,no
AUDI A4,3,(6 cyl),Man-6,4WD,Gasoline,CL,ULEV,2ADXV03.0344,small car,3,N/A,16,23,18,23.6383,5,no
AUDI A4,3,(6 cyl),Auto-AV,2WD,Gasoline,CL,ULEV,2ADXV03.0344,small car,3,N/A,17,25,19,25.1029,5,no
AUDI A4 Avant,1.8,(4 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,2ADXV01.8342,station wagon,3,N/A,17,26,20,26.1596,6,no
AUDI A4 Avant,1.8,(4 cyl),Man-5,4WD,Gasoline,CL,ULEV,2ADXV01.8342,station wagon,3,N/A,18,26,21,27.8234,6,no
AUDI A4 Avant,3,(6 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,2ADXV03.0344,station wagon,3,N/A,15,23,18,23.4859,5,no
AUDI A4 Avant,3,(6 cyl),Man-6,4WD,Gasoline,CL,ULEV,2ADXV03.0344,station wagon,3,N/A,16,23,18,23.6383,5,no
AUDI A6,3,(6 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,2ADXV03.0344,midsize car,3,N/A,15,23,18,23.4859,5,no
AUDI A6,3,(6 cyl),Auto-AV,2WD,Gasoline,CL,ULEV,2ADXV03.0344,midsize car,3,N/A,17,23,19,24.6889,5,no
AUDI A6,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,LEV,2ADXV04.2345,midsize car,2,N/A,15,23,18,23.1903,5,no
AUDI A6,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,2ADXV02.7333,midsize car,1,N/A,15,22,18,23.0883,5,no
AUDI A6,2.7,(6 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,2ADXV02.7333,midsize car,1,N/A,16,23,18,23.7696,5,no
AUDI A6 Avant,3,(6 cyl),Auto-L5,4WD,Gasoline,CL,ULEV,2ADXV03.0344,station wagon,3,N/A,15,23,18,23.4859,5,no
AUDI A8,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,LEV,2ADXV04.2345,midsize car,2,N/A,15,23,18,23.1903,5,no
AUDI A8 L,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,LEV,2ADXV04.2345,large car,2,N/A,15,23,18,23.178,5,no
AUDI Allroad,2.7,(6 cyl),Auto-L5,4WD,Gasoline,CL,TLEV,2ADXV02.7333,SUV,1,N/A,14,19,16,20.2182,4,no
AUDI Allroad,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,2ADXV02.7333,SUV,1,N/A,14,19,16,20.7883,4,no
AUDI S4,2.7,(6 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,2ADXV02.7333,small car,1,N/A,15,22,18,22.9022,5,no
AUDI S4,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,2ADXV02.7333,small car,1,N/A,15,22,18,22.9027,5,no
AUDI S4 Avant,2.7,(6 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,2ADXV02.7333,station wagon,1,N/A,15,22,18,22.9022,5,no
AUDI S4 Avant,2.7,(6 cyl),Man-6,4WD,Gasoline,CL,TLEV,2ADXV02.7333,station wagon,1,N/A,15,22,18,22.9027,5,no
AUDI S6 Avant,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,2ADXV04.2335,station wagon,1,N/A,12,19,15,18.7181,3,no
AUDI S8,4.2,(8 cyl),Auto-S5,4WD,Gasoline,CL,TLEV,2ADXV04.2335,midsize car,1,N/A,13,20,15,19.8136,3,no
AUDI TT Coupe,1.8,(4 cyl),Man-5,4WD,Gasoline,CL,LEV,2ADXV01.8347,small car,2,N/A,18,27,21,27.5532,6,no
AUDI TT Coupe,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,2ADXV01.8346,small car,2,N/A,20,29,23,30.5489,7,no
AUDI TT Coupe,1.8,(4 cyl),Man-6,4WD,Gasoline,CL,TLEV,2ADXV01.8336,small car,1,N/A,18,26,21,26.9692,6,no
AUDI TT Roadster,1.8,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,2ADXV01.8346,small car,2,N/A,20,28,23,29.8651,7,no
AUDI TT Roadster,1.8,(4 cyl),Man-6,4WD,Gasoline,CL,TLEV,2ADXV01.8336,small car,1,N/A,18,26,21,26.9692,6,no
BENTLEY Arnage,6.8,(8 cyl),Auto-L4,2WD,Gasoline,CL,TLEV,2RRXV06.7TTC,midsize car,1,N/A,9,14,11,13.7887,0,no
BMW 325ci,2.5,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,24,20,25.659,6,no
BMW 325ci,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,18,27,21,27.5864,6,no
BMW 325ci Convertible,2.5,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,24,19,24.8053,5,no
BMW 325ci Convertible,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,24,19,25.2462,5,no
BMW 325i,2.5,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,24,20,25.659,6,no
BMW 325i,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,18,27,21,27.5864,6,no
