Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,FE Calc Appr,City MPG,Hwy MPG,Cmb MPG,Unadj Cmb MPG,Greenhouse Gas Score,SmartWay
BMW 325i Sport Wagon,2.5,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,station wagon,2,N/A,17,24,20,25.659,6,no
BMW 325i Sport Wagon,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,station wagon,2,N/A,18,27,21,27.5864,6,no
BMW 325xi,2.5,(6 cyl),Auto-S5,4WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,23,19,24.884,5,no
BMW 325xi,2.5,(6 cyl),Man-5,4WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,25,20,26.0205,6,no
BMW 325xi Sport Wagon,2.5,(6 cyl),Auto-S5,4WD,Gasoline,NF,LEV,2BMXV03.0LER,station wagon,2,N/A,17,23,19,24.884,5,no
BMW 325xi Sport Wagon,2.5,(6 cyl),Man-5,4WD,Gasoline,NF,LEV,2BMXV03.0LER,station wagon,2,N/A,17,24,20,25.3682,6,no
BMW 330ci,3,(6 cyl),Auto-L5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,17,25,20,25.8195,6,no
BMW 330ci,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,18,27,22,28.0737,6,no
BMW 330ci Convertible,3,(6 cyl),Auto-L5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,16,24,19,24.3396,5,no
BMW 330ci Convertible,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,17,26,20,26.5365,6,no
BMW 330i,3,(6 cyl),Auto-L5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,17,25,20,25.8195,6,no
BMW 330i,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,18,27,22,28.0737,6,no
BMW 330xi,3,(6 cyl),Auto-L5,4WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,16,23,18,23.4815,5,no
BMW 330xi,3,(6 cyl),Man-5,4WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,18,25,20,26.3894,6,no
BMW 525i,2.5,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,24,20,25.659,6,no
BMW 525i,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,18,27,21,27.5864,6,no
BMW 525i Sport Wagon,2.5,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,station wagon,2,N/A,17,24,19,24.8053,5,no
BMW 525i Sport Wagon,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,station wagon,2,N/A,17,24,19,25.2462,5,no
BMW 530i,3,(6 cyl),Auto-L5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,16,24,19,24.3396,5,no
BMW 530i,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,18,27,22,28.0737,6,no
BMW 540i,4.4,(8 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV04.4LEV,small car,2,N/A,14,19,16,20.4457,4,no
BMW 540i,4.4,(8 cyl),Man-6,2WD,Gasoline,NF,LEV,2BMXV04.4LEV,small car,2,N/A,14,21,16,21.0902,4,no
BMW 540i,4.4,(8 cyl),Auto-L5,2WD,Gasoline,NF,LEV,2BMXV04.4LEV,small car,2,N/A,16,22,18,23.7738,5,no
BMW 540i Sport Wagon,4.4,(8 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV04.4LEV,station wagon,2,N/A,14,19,16,20.4457,4,no
BMW 745i,4.4,(8 cyl),Auto-L6,2WD,Gasoline,NF,LEV,2BMXV04.4LEV,large car,2,N/A,16,24,19,24.4303,5,no
BMW 745li,4.4,(8 cyl),Auto-L6,2WD,Gasoline,NF,LEV,2BMXV04.4LEV,large car,2,N/A,16,24,19,24.4303,5,no
BMW M3,3.2,(6 cyl),Auto-S6,2WD,Gasoline,NF,LEV,2BMXV03.2S54,small car,2,N/A,15,21,17,22.1167,4,no
BMW M3 Convertible,3.2,(6 cyl),Auto-S6,2WD,Gasoline,NF,LEV,2BMXV03.2S54,small car,2,N/A,14,20,16,21.2583,4,no
BMW M5,4.9,(8 cyl),Man-6,2WD,Gasoline,CL,TLEV,2BMXV04.9S62,small car,1,N/A,12,19,15,18.5963,3,no
BMW Mini Cooper,1.6,(4 cyl),Auto-AV,2WD,Gasoline,NF,LEV,2BMXV01.6R50,small car,2,N/A,22,29,25,32.3652,7,no
BMW X5,3,(6 cyl),Auto-S5,4WD,Gasoline,CA,ULEV,2BMXT03.0E5R,SUV,1,N/A,14,19,16,20.2177,4,no
BMW X5,3,(6 cyl),Man-5,4WD,Gasoline,CA,ULEV,2BMXT03.0E5R,SUV,1,N/A,14,19,16,20.3127,4,no
BMW X5,4.4,(8 cyl),Auto-L5,4WD,Gasoline,CA,LEV,2BMXT04.4E53,SUV,1,N/A,12,16,14,17.4521,2,no
BMW X5,4.6,(8 cyl),Auto-S5,4WD,Gasoline,CA,LEV,2BMXT04.6XHP,SUV,1,N/A,11,16,13,16.3911,1,no
BMW X5,3,(6 cyl),Auto-S5,4WD,Gasoline,FA,T1,2BMXT03.0E5R,SUV,0,N/A,14,19,16,20.2177,4,no
BMW X5,3,(6 cyl),Man-5,4WD,Gasoline,FA,T1,2BMXT03.0E5R,SUV,0,N/A,14,19,16,20.3127,4,no
BMW X5,4.4,(8 cyl),Auto-L5,4WD,Gasoline,FA,T1,2BMXT04.4E53,SUV,0,N/A,12,16,14,17.4521,2,no
BMW X5,4.6,(8 cyl),Auto-S5,4WD,Gasoline,FA,T1,2BMXT04.6XHP,SUV,0,N/A,11,16,13,16.3911,1,no
BMW Z3 Coupe,3,(6 cyl),Auto-L5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,17,25,20,25.8195,6,no
BMW Z3 Coupe,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,19,26,21,27.879,6,no
BMW Z3 Roadster,3,(6 cyl),Auto-L5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,17,23,19,24.7573,5,no
BMW Z3 Roadster,3,(6 cyl),Man-5,2WD,Gasoline,NF,ULEV,2BMXV03.0M5R,small car,3,N/A,19,26,21,27.879,6,no
BMW Z3 Roadster,2.5,(6 cyl),Auto-S5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,17,24,20,25.5414,6,no
BMW Z3 Roadster,2.5,(6 cyl),Man-5,2WD,Gasoline,NF,LEV,2BMXV03.0LER,small car,2,N/A,18,25,20,26.4684,6,no
BMW Z8,4.9,(8 cyl),Man-6,2WD,Gasoline,CL,TLEV,2BMXV04.9S62,small car,1,N/A,12,19,15,18.5963,3,no
BUICK Century,3.1,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV03.8043,midsize car,2,N/A,18,26,21,27.0691,6,no
BUICK LeSabre,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,2GMXV03.8044,large car,3,N/A,17,27,21,26.7043,6,no
BUICK LeSabre,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV03.8043,large car,2,N/A,17,27,21,26.7043,6,no
BUICK Park Avenue,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,2GMXV03.8044,large car,3,N/A,17,27,21,26.7043,6,no
BUICK Park Avenue,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV03.8043,large car,2,N/A,16,25,19,24.5463,5,no
BUICK Park Avenue,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV03.8043,large car,2,N/A,17,27,21,26.7043,6,no
BUICK Regal,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,2GMXV03.8044,midsize car,3,N/A,17,27,20,26.502,6,no
BUICK Regal,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV03.8043,midsize car,2,N/A,16,25,19,24.5463,5,no
BUICK Regal,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV03.8043,midsize car,2,N/A,17,27,20,26.502,6,no
BUICK Rendezvous,3.4,(6 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,2GMXT03.4142,SUV,2,N/A,17,24,20,25.3963,6,no
BUICK Rendezvous,3.4,(6 cyl),Auto-L4,4WD,Gasoline,CA,ULEV,2GMXT03.4142,SUV,2,N/A,16,22,18,23.565,5,no
BUICK Rendezvous,3.4,(6 cyl),Auto-L4,2WD,Gasoline,NL,LEV,2GMXT03.4141,SUV,1,N/A,17,24,20,25.3963,6,no
BUICK Rendezvous,3.4,(6 cyl),Auto-L4,4WD,Gasoline,NL,LEV,2GMXT03.4141,SUV,1,N/A,16,22,18,23.565,5,no
CADILLAC Deville,4.6,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV04.6065,large car,2,N/A,16,25,19,24.2432,5,no
CADILLAC Eldorado,4.6,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV04.6065,midsize car,2,N/A,16,25,19,24.2432,5,no
CADILLAC Escalade,5.3,(8 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,2GMXA05.3185,SUV,1,N/A,13,17,14,18.4479,2,no
CADILLAC Escalade,5.3,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT05.3182,SUV,0,N/A,13,17,14,18.4479,2,no
CADILLAC Escalade,6,(8 cyl),Auto-L4,4WD,Gasoline,CA,LEV,2GMXA06.0194,SUV,0,N/A,10,14,12,15.031,0,no
CADILLAC Escalade,6,(8 cyl),Auto-L4,4WD,Gasoline,FA,T1,2GMXT06.0187,SUV,0,N/A,10,14,12,15.031,0,no
CADILLAC Limousine,4.6,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV04.6066,large car,2,N/A,13,20,15,19.6935,3,no
CADILLAC Seville,4.6,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV04.6065,midsize car,2,N/A,16,25,19,24.2432,5,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,NL+CF,LEV,2GMXT04.3183,van,1,N/A,14,18,15,19.8471,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,CL,LEV,2GMXT04.3188,van,1,N/A,14,18,15,19.8471,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,NL+CF,LEV,2GMXT04.3183,van,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXT04.3188,van,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,NL+CF,LEV,2GMXT04.3183,van,1,N/A,14,18,16,20.076,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXT04.3188,van,1,N/A,14,18,16,20.076,4,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,CA,ULEV,2GMXA04.3189,van,1,N/A,13,17,15,19.0098,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,FA,T1,2GMXT04.3181,van,0,N/A,14,18,15,19.8471,3,no
CHEVROLET Astro,4.3,(6 cyl),Auto-L4,4WD,Gasoline,FA,T1,2GMXT04.3181,van,0,N/A,13,17,15,19.0098,3,no
CHEVROLET Avalanche 1500,5.3,(8 cyl),Auto-L4,2WD,Gasoline,CA,ULEV,2GMXA05.3185,SUV,1,N/A,13,17,14,18.2973,2,no
CHEVROLET Avalanche 1500,5.3,(8 cyl),Auto-L4,4WD,Gasoline,CA,ULEV,2GMXA05.3185,SUV,1,N/A,12,15,13,16.9778,1,no
CHEVROLET Avalanche 1500,5.3,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT05.3182,SUV,0,N/A,13,17,14,18.2973,2,no
CHEVROLET Avalanche 1500,5.3,(8 cyl),Auto-L4,4WD,Gasoline,FA,T1,2GMXT05.3182,SUV,0,N/A,12,15,13,16.9778,1,no
CHEVROLET Avalanche 2500,8.1,,,2WD,Gasoline,CA,LEV,2GMXA08.1201,SUV,0,N/A,N/A,N/A,N/A,N/A,N/A,no
CHEVROLET Avalanche 2500,8.1,,,4WD,Gasoline,CA,LEV,2GMXA08.1201,SUV,0,N/A,N/A,N/A,N/A,N/A,N/A,no
CHEVROLET Blazer,4.3,(6 cyl),Man-5,2WD,Gasoline,NL+CF,LEV,2GMXT04.3182,SUV,1,N/A,14,20,16,20.8677,4,no
CHEVROLET Blazer,4.3,(6 cyl),Man-5,2WD,Gasoline,CL,LEV,2GMXT04.3187,SUV,1,N/A,14,20,16,20.8677,4,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,2WD,Gasoline,NL+CF,LEV,2GMXT04.3182,SUV,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXT04.3187,SUV,1,N/A,15,20,17,22.2491,4,no
CHEVROLET Blazer,4.3,(6 cyl),Man-5,4WD,Gasoline,CL,LEV,2GMXT04.3187,SUV,1,N/A,12,16,14,17.6413,2,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,4WD,Gasoline,NL+CF,LEV,2GMXT04.3182,SUV,1,N/A,14,18,15,19.8471,3,no
CHEVROLET Blazer,4.3,(6 cyl),Auto-L4,4WD,Gasoline,CL,LEV,2GMXT04.3187,SUV,1,N/A,14,18,15,19.8471,3,no
CHEVROLET Camaro,3.8,(6 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV03.8043,small car,2,N/A,17,28,21,26.8254,6,no
CHEVROLET Camaro,3.8,(6 cyl),Man-5,2WD,Gasoline,CL,LEV,2GMXV03.8043,small car,2,N/A,17,29,21,26.8862,6,no
CHEVROLET Camaro,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV05.7081,small car,2,N/A,16,23,19,23.9926,5,no
CHEVROLET Camaro,5.7,(8 cyl),Man-6,2WD,Gasoline,CL,LEV,2GMXV05.7081,small car,2,N/A,17,26,20,26.019,6,no
CHEVROLET Cavalier,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV02.4022,small car,2,N/A,21,30,24,31.5689,7,no
CHEVROLET Cavalier,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV02.4022,small car,2,N/A,21,30,24,31.6475,7,no
CHEVROLET Cavalier,2.2,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,2GMXV02.4022,small car,2,N/A,22,30,25,32.6572,7,no
CHEVROLET Cavalier,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV02.4022,small car,2,N/A,18,26,21,27.541,6,no
CHEVROLET Cavalier,2.4,(4 cyl),Man-5,2WD,Gasoline,CL,LEV,2GMXV02.4022,small car,2,N/A,19,29,23,29.5762,7,no
CHEVROLET Cavalier,2.2,(4 cyl),Man-5,2WD,Gasoline,CL,TLEV,2GMXV02.2024,small car,1,N/A,21,30,24,31.7398,7,no
CHEVROLET Cavalier Dual-Fuel,2.2,(4 cyl),Auto-4,2WD,CNG/gas,NF,LEV,2TJXV02.2022,small car,2/2,N/A,18/20,25/28,21/23,27.1163,7/7,no
CHEVROLET Corvette,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CL,LEV,2GMXV05.7081,small car,2,N/A,16,23,19,23.9435,5,no
CHEVROLET Corvette,5.7,(8 cyl),Man-6,2WD,Gasoline,CL,LEV,2GMXV05.7081,small car,2,N/A,17,26,20,26.0713,6,no
CHEVROLET Corvette,5.7,(8 cyl),Man-6,2WD,Gasoline,CL,LEV,2GMXV05.7082,small car,2,N/A,17,26,20,26.0713,6,no
CHEVROLET Express 1500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CA,LEV,2GMXA04.3192,van,1,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 1500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,2GMXT04.3193,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 1500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT04.3185,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 1500,5,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT05.0182,van,0,N/A,13,17,15,18.7116,3,no
CHEVROLET Express 1500,5,(8 cyl),Auto-L4,2WD,Gasoline,CA,T1,2GMXT05.0182,van,0,N/A,13,17,15,18.7116,3,no
CHEVROLET Express 1500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,2GMXT05.7195,van,0,N/A,12,16,14,17.346,2,no
CHEVROLET Express 1500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CA,LEV,2GMXA06.0194,van,0,N/A,12,16,14,17.346,2,no
CHEVROLET Express 1500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT06.0187,van,0,N/A,12,16,14,17.346,2,no
CHEVROLET Express 2500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,CA,LEV,2GMXA04.3192,van,1,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 2500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,2GMXT04.3193,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 2500,4.3,(6 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT04.3185,van,0,N/A,13,16,14,18.2743,2,no
CHEVROLET Express 2500,5,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT05.0182,van,0,N/A,13,17,15,18.7116,3,no
CHEVROLET Express 2500,5,(8 cyl),Auto-L4,2WD,Gasoline,CA,T1,2GMXT05.0182,van,0,N/A,13,17,15,18.7116,3,no
CHEVROLET Express 2500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA+CF,LEV,2GMXT05.7195,van,0,N/A,12,16,14,17.346,2,no
CHEVROLET Express 2500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,CA,LEV,2GMXA06.0194,van,0,N/A,12,16,14,17.346,2,no
CHEVROLET Express 2500,5.7,(8 cyl),Auto-L4,2WD,Gasoline,FA,T1,2GMXT06.0187,van,0,N/A,12,16,14,17.346,2,no
CHEVROLET Express 2500 Dual-Fuel,5.7,,,,CNG/gas,CA,LEV,2TJXT05.7188,van,0/0,N/A,N/A,N/A,N/A,N/A,N/A,no
