Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
CHEVROLET Tahoe 1500,4.8,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.3182,SUV,0,13,18,15,3,no
CHEVROLET Tahoe 1500,4.8,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YGMXT05.3182,SUV,0,13,16,14,2,no
CHEVROLET Tahoe 1500,5.3,8,Auto-L4,4WD,Gasoline,CA,LEV,LEV,YGMXA05.3184,SUV,0,13,16,14,2,no
CHEVROLET Tahoe 1500,5.3,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YGMXT05.3182,SUV,0,13,16,14,2,no
CHEVROLET Tahoe 1500,5.7,8,Auto-L4,4WD,Gasoline,CA,LEV,LEV,YGMXA05.7185,SUV,0,11,15,13,1,no
CHEVROLET Tahoe 1500,5.7,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.7188,SUV,0,12,16,14,2,no
CHEVROLET Tahoe 1500,5.7,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YGMXT05.7189,SUV,0,11,15,13,1,no
CHEVROLET Tahoe 1500,5.7,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YGMXT05.7188,SUV,0,12,16,14,2,no
CHEVROLET Tahoe 1500,5.7,8,Auto-L4,4WD,Gasoline,CA,T1,TIER 1,YGMXT05.7189,SUV,0,11,15,13,1,no
CHEVROLET Tracker,2,4,Man-5,2WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,20,23,21,6,no
CHEVROLET Tracker,2,4,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,21,24,22,6,no
CHEVROLET Tracker,2,4,Man-5,4WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,20,23,21,6,no
CHEVROLET Tracker,2,4,Auto-L4,4WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,20,23,21,6,no
CHEVROLET Tracker,2,4,Man-5,2WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,20,23,21,6,no
CHEVROLET Tracker,2,4,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,21,24,22,6,no
CHEVROLET Tracker,2,4,Man-5,4WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,20,23,21,6,no
CHEVROLET Tracker,2,4,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,20,23,21,6,no
CHEVROLET Tracker Convertible,1.6,4,Man-5,2WD,Gasoline,CL,LEV,LEV,YSKXT1.59LMA,SUV,2,22,26,24,7,no
CHEVROLET Tracker Convertible,1.6,4,Man-5,4WD,Gasoline,CL,LEV,LEV,YSKXT1.59LMA,SUV,2,22,25,23,7,no
CHEVROLET Tracker Convertible,2,4,Man-5,2WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,20,23,21,6,no
CHEVROLET Tracker Convertible,2,4,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,20,23,22,6,no
CHEVROLET Tracker Convertible,2,4,Man-5,4WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,20,23,21,6,no
CHEVROLET Tracker Convertible,2,4,Auto-L4,4WD,Gasoline,CL,LEV,LEV,YSKXT2.00LMA,SUV,2,20,23,21,6,no
CHEVROLET Tracker Convertible,1.6,4,Man-5,2WD,Gasoline,FA,T1,TIER 1,YSKXT1.59CMC,SUV,0,22,26,24,7,no
CHEVROLET Tracker Convertible,1.6,4,Man-5,4WD,Gasoline,FA,T1,TIER 1,YSKXT1.59CMC,SUV,0,22,25,23,7,no
CHEVROLET Tracker Convertible,2,4,Man-5,2WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,20,23,21,6,no
CHEVROLET Tracker Convertible,2,4,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,20,23,22,6,no
CHEVROLET Tracker Convertible,2,4,Man-5,4WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,20,23,21,6,no
CHEVROLET Tracker Convertible,2,4,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YSKXT2.00CMA,SUV,0,20,23,21,6,no
CHEVROLET Van 1500,4.3,6,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YGMXA04.3192,van,1,13,17,15,3,no
CHEVROLET Van 1500,4.3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT04.3180,van,0,13,17,15,3,no
CHEVROLET Van 1500,4.3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT04.3185,van,0,13,17,15,3,no
CHEVROLET Van 1500,5,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.7188,van,0,13,17,15,3,no
CHEVROLET Van 1500,5,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.7189,van,0,13,17,15,3,no
CHEVROLET Van 1500,5,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YGMXT05.7188,van,0,13,17,15,3,no
CHEVROLET Van 1500,5,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YGMXT05.7189,van,0,13,17,15,3,no
CHEVROLET Van 1500,5.7,8,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YGMXA05.7185,van,0,12,17,14,2,no
CHEVROLET Van 1500,5.7,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.7187,van,0,12,17,14,2,no
CHEVROLET Van 2500,4.3,6,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YGMXA04.3192,van,1,13,17,15,3,no
CHEVROLET Van 2500,4.3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT04.3180,van,0,13,17,15,3,no
CHEVROLET Van 2500,4.3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT04.3185,van,0,13,17,15,3,no
CHEVROLET Van 2500,5,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.7188,van,0,13,17,15,3,no
CHEVROLET Van 2500,5,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.7189,van,0,13,17,15,3,no
CHEVROLET Van 2500,5,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YGMXT05.7188,van,0,13,17,15,3,no
CHEVROLET Van 2500,5,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YGMXT05.7189,van,0,13,17,15,3,no
CHEVROLET Van 2500,5.7,8,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YGMXA05.7185,van,0,12,17,14,2,no
CHEVROLET Van 2500,5.7,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT05.7187,van,0,12,17,14,2,no
CHEVROLET Van 3500,5.7,,,,Gasoline,CA,T1,TIER 1,YGMXA05.7191,van,0,N/A,N/A,N/A,N/A,no
CHEVROLET Van 3500,7.4,,,,Gasoline,CA,T1,TIER 1,YGMXA07.4201,van,0,N/A,N/A,N/A,N/A,no
CHEVROLET Venture,3.4,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YGMXT03.4142,minivan,1,17,24,19,5,no
CHEVROLET Venture,3.4,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YGMXT03.4141,minivan,0,17,24,19,5,no
CHRYSLER 300M,3.5,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0215V30,large car,2,16,24,19,5,no
CHRYSLER 300M,3.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV03.5VB0,large car,0,16,24,19,5,no
CHRYSLER Caravan,3.8,6,Auto-L4,4WD,Gasoline,CL,T1,TIER 1,YCRXT03.82B0,minivan,0,14,21,17,4,no
CHRYSLER Caravan,3.8,6,Auto-L4,4WD,Gasoline,CL,T1,TIER 1,YCRXT03.82B0,minivan,0,15,21,17,4,no
CHRYSLER Cirrus,2.4,4,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0148V30,midsize car,2,17,25,20,6,no
CHRYSLER Cirrus,2.5,6,Auto-L4,2WD,Gasoline,CL,TLEV,TLEV,YCRXV0152V20,midsize car,1,16,24,19,5,no
CHRYSLER Cirrus,2.5,6,Auto-L4,2WD,Gasoline,CL,TLEV,TLEV,YCRXV0152V20,midsize car,1,17,25,20,6,no
CHRYSLER Cirrus,2.4,4,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.4VB0,midsize car,0,17,25,20,6,no
CHRYSLER Cirrus,2.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.5VB0,midsize car,0,16,24,19,5,no
CHRYSLER Cirrus,2.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.5VB0,midsize car,0,17,25,20,6,no
CHRYSLER Concorde,2.7,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0165V30,large car,2,18,27,21,6,no
CHRYSLER Concorde,3.2,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0215V30,large car,2,17,25,20,6,no
CHRYSLER Concorde,2.7,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.7VB0,large car,0,18,27,21,6,no
CHRYSLER Concorde,3.2,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV03.5VB0,large car,0,17,25,20,6,no
CHRYSLER LHS,3.5,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0215V30,large car,2,16,24,19,5,no
CHRYSLER LHS,3.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV03.5VB0,large car,0,16,24,19,5,no
CHRYSLER Sebring,2.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YDSXV02.5GFG,small car,0,17,25,20,6,no
CHRYSLER Sebring Convertible,2.5,6,Auto-L4,2WD,Gasoline,CL,TLEV,TLEV,YCRXV0152V20,small car,1,16,24,19,5,no
CHRYSLER Sebring Convertible,2.5,6,Auto-L4,2WD,Gasoline,CL,TLEV,TLEV,YCRXV0152V20,small car,1,17,25,20,6,no
CHRYSLER Sebring Convertible,2.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.5VB0,small car,0,16,24,19,5,no
CHRYSLER Sebring Convertible,2.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.5VB0,small car,0,17,25,20,6,no
CHRYSLER Town & Country,3.3,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0201230,minivan,1,16,22,18,5,no
CHRYSLER Town & Country,3.8,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0232230,minivan,1,15,22,18,5,no
CHRYSLER Town & Country,3.3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.32BP,minivan,0,16,22,18,5,no
CHRYSLER Town & Country,3.8,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.82B0,minivan,0,15,22,18,5,no
CHRYSLER Town & Country,3.8,6,Auto-L4,4WD,Gasoline,CL,T1,TIER 1,YCRXT03.82B0,minivan,0,15,21,17,4,no
CHRYSLER Voyager,3.3,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0201230,minivan,1,16,23,19,5,no
CHRYSLER Voyager,3.8,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0232230,minivan,1,15,22,18,5,no
CHRYSLER Voyager,2.4,4,Auto-L3,2WD,Gasoline,FA,T1,TIER 1,YCRXT02.42B0,minivan,0,18,24,20,6,no
CHRYSLER Voyager,3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.02B0,minivan,0,16,23,18,5,no
CHRYSLER Voyager,3.3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.32BP,minivan,0,16,23,19,5,no
CHRYSLER Voyager,3.8,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.82B0,minivan,0,15,22,18,5,no
CHRYSLER Voyager,2.4,4,Auto-L3,2WD,Gasoline,CL,LEV,LEV,YCRXT0148230,minivan,N/A,18,24,20,6,no
DAEWOO Lanos,1.5,4,Auto-4,2WD,Gasoline,CL,TLEV,TLEV,YDWXV01.5S01,small car,1,21,33,25,7,no
DAEWOO Lanos,1.5,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YDWXV01.5S01,small car,1,23,33,27,8,no
DAEWOO Lanos,1.6,4,Auto-4,2WD,Gasoline,CL,TLEV,TLEV,YDWXV01.6D01,small car,1,20,31,24,7,no
DAEWOO Lanos,1.6,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YDWXV01.6D01,small car,1,23,33,26,8,no
DAEWOO Leganza,2.2,4,Auto-4,2WD,Gasoline,CL,TLEV,TLEV,YDWXV02.2D01,midsize car,1,18,26,20,6,no
DAEWOO Leganza,2.2,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YDWXV02.2D01,midsize car,1,18,27,21,6,no
DAEWOO Nubira,2,4,Auto-4,2WD,Gasoline,CL,TLEV,TLEV,YDWXV02.2D01,small car,1,20,28,23,7,no
DAEWOO Nubira,2,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YDWXV02.2D01,small car,1,20,29,23,7,no
DAEWOO Nubira Station Wagon,2,4,Auto-4,2WD,Gasoline,CL,TLEV,TLEV,YDWXV02.2D01,station wagon,1,20,28,23,7,no
DAEWOO Nubira Station Wagon,2,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YDWXV02.2D01,station wagon,1,20,29,23,7,no
DODGE Avenger,2.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YDSXV02.5GFG,small car,0,17,25,20,6,no
DODGE B1500,3.9,6,Auto-L3,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.95B2,van,0,13,16,14,2,no
DODGE B1500,3.9,6,Auto-L3,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.95B2,van,0,13,15,14,2,no
DODGE B1500,3.9,6,Auto-L3,2WD,Gasoline,CA,T1,TIER 1,YCRXA0239H11,van,0,13,16,14,2,no
DODGE B1500,3.9,6,Auto-L3,2WD,Gasoline,CA,T1,TIER 1,YCRXA0239H11,van,0,13,15,14,2,no
DODGE B1500,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B1,van,0,12,17,14,2,no
DODGE B1500,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B1,van,0,12,17,14,2,no
DODGE B1500,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,van,0,12,17,14,2,no
DODGE B1500,5.2,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360H11,van,0,12,17,14,2,no
DODGE B1500,5.2,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360H11,van,0,12,17,14,2,no
DODGE B1500,5.2,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,12,17,14,2,no
DODGE B1500,5.9,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B1,van,0,11,16,13,1,no
DODGE B1500,5.9,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,van,0,11,16,13,1,no
DODGE B1500,5.9,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360H11,van,0,11,16,13,1,no
DODGE B1500,5.9,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,11,16,13,1,no
DODGE B2500,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,van,0,12,17,14,2,no
DODGE B2500,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,van,0,11,14,12,0,no
DODGE B2500,5.2,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,12,17,14,2,no
DODGE B2500,5.2,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,11,14,12,0,no
DODGE B2500,5.9,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,van,0,11,17,13,1,no
DODGE B2500,5.9,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,van,0,11,17,13,1,no
DODGE B2500,5.9,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,11,17,13,1,no
DODGE B2500,5.9,8,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,11,17,13,1,no
DODGE B3500,5.2,,,,CNG,CA,SLEV,SULEV,YCRXT05.26RC,van,2,N/A,N/A,N/A,N/A,no
DODGE B3500,5.2,,,,CNG,CA,SLEV,SULEV,YCRXT05.26RC,van,2,N/A,N/A,N/A,N/A,no
DODGE B3500,5.2,,,,CNG,CF,N/A*,ULEV,YCRXT05.26RC,van,N/A*,N/A,N/A,N/A,N/A*,N/A*
DODGE B3500,5.2,,,,CNG,CF,N/A*,ULEV,YCRXT05.26RC,van,N/A*,N/A,N/A,N/A,N/A*,N/A*
DODGE B3500,5.2,,,,Gasoline,FA,T1,TIER 1,YCRXT05.9AB1,van,0,N/A,N/A,N/A,N/A,no
DODGE B3500,5.2,,,,Gasoline,FA,T1,TIER 1,YCRXT05.9AB1,van,0,N/A,N/A,N/A,N/A,no
DODGE B3500,5.2,,,,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,N/A,N/A,N/A,N/A,no
DODGE B3500,5.2,,,,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,N/A,N/A,N/A,N/A,no
DODGE B3500,5.9,,,,Gasoline,FA,T1,TIER 1,YCRXT05.9AB1,van,0,N/A,N/A,N/A,N/A,no
DODGE B3500,5.9,,,,Gasoline,FA,T1,TIER 1,YCRXT05.9AB1,van,0,N/A,N/A,N/A,N/A,no
DODGE B3500,5.9,,,,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,N/A,N/A,N/A,N/A,no
DODGE B3500,5.9,,,,Gasoline,CA,T1,TIER 1,YCRXA0360J11,van,0,N/A,N/A,N/A,N/A,no
DODGE Caravan,3.3,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0201230,minivan,1,16,23,19,5,no
DODGE Caravan,3.8,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0232230,minivan,1,15,22,18,5,no
DODGE Caravan,3.8,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0232230,minivan,1,15,22,18,5,no
DODGE Caravan,2.4,4,Auto-L3,2WD,Gasoline,FA,T1,TIER 1,YCRXT02.42B0,minivan,0,18,24,20,6,no
DODGE Caravan,3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.02B0,minivan,0,16,23,18,5,no
DODGE Caravan,3.3,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.32BP,minivan,0,16,23,19,5,no
DODGE Caravan,3.8,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.82B0,minivan,0,15,22,18,5,no
DODGE Caravan,3.8,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.82B0,minivan,0,15,22,18,5,no
DODGE Caravan,3.8,6,Auto-L4,4WD,Gasoline,CL,T1,TIER 1,YCRXT03.82B0,minivan,0,14,21,17,4,no
DODGE Caravan,3.8,6,Auto-L4,4WD,Gasoline,CL,T1,TIER 1,YCRXT03.82B0,minivan,0,15,21,17,4,no
DODGE Caravan,2.4,4,Auto-L3,2WD,Gasoline,CL,LEV,LEV,YCRXT0148230,minivan,N/A,18,24,20,6,no
DODGE Dakota,2.5,4,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YCRXT0150120,pickup,1,18,23,20,6,no
DODGE Dakota,3.9,6,Auto-L4,2WD,Gasoline,CL,TLEV,TLEV,YCRXT03.92C1,pickup,1,15,20,16,4,no
DODGE Dakota,3.9,6,Man-5,2WD,Gasoline,CL,TLEV,TLEV,YCRXT03.92C1,pickup,1,15,21,17,4,no
DODGE Dakota,3.9,6,Auto-L4,4WD,Gasoline,CL,TLEV,TLEV,YCRXT03.92C1,pickup,1,13,17,14,2,no
DODGE Dakota,3.9,6,Man-5,4WD,Gasoline,CL,TLEV,TLEV,YCRXT03.92C1,pickup,1,14,17,15,3,no
DODGE Dakota,4.7,8,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXT0287232,pickup,1,13,18,15,3,no
DODGE Dakota,4.7,8,Man-5,2WD,Gasoline,CL,LEV,LEV,YCRXT0287232,pickup,1,13,19,15,3,no
DODGE Dakota,4.7,8,Man-5,4WD,Gasoline,CL,LEV,LEV,YCRXT0287232,pickup,1,13,17,14,2,no
DODGE Dakota,4.7,8,Auto-L4,4WD,Gasoline,CL,LEV,LEV,YCRXT0287232,pickup,1,13,17,14,2,no
DODGE Dakota,5.9,8,Auto-L4,4WD,Gasoline,CA,LEV,LEV,YCRXA0360H32,pickup,1,11,15,12,0,no
DODGE Dakota,5.9,8,Auto-L4,2WD,Gasoline,CL,TLEV,TLEV,YCRXT0360221,pickup,1,11,16,13,1,no
DODGE Dakota,2.5,4,Man-5,2WD,Gasoline,FA,T1,TIER 1,YCRXT02.51B0,pickup,0,18,23,20,6,no
DODGE Dakota,4.7,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT04.72B2,pickup,0,13,18,15,3,no
DODGE Dakota,4.7,8,Man-5,2WD,Gasoline,FA,T1,TIER 1,YCRXT04.72B2,pickup,0,13,19,15,3,no
DODGE Dakota,5.9,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.92B1,pickup,0,11,16,13,1,no
DODGE Dakota,5.9,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B2,pickup,0,11,15,12,0,no
DODGE Durango,4.7,8,Auto-L4,4WD,Gasoline,CA,ULEV,ULEV,YCRXA0287H41,SUV,1,12,17,14,2,no
DODGE Durango,5.2,8,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YCRXA0360H32,SUV,1,12,17,14,2,no
DODGE Durango,5.9,8,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YCRXA0360H32,SUV,1,11,16,13,1,no
DODGE Durango,5.9,8,Auto-L4,4WD,Gasoline,CA,LEV,LEV,YCRXA0360H32,SUV,1,11,15,12,0,no
DODGE Durango,4.7,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YCRXT04.75B1,SUV,0,12,17,14,2,no
DODGE Durango,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B2,SUV,0,12,17,14,2,no
DODGE Durango,5.9,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B2,SUV,0,11,16,13,1,no
DODGE Durango,5.9,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B2,SUV,0,11,15,12,0,no
DODGE Intrepid,2.7,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0165V30,large car,2,18,27,21,6,no
DODGE Intrepid,2.7,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0165V30,large car,2,18,27,21,6,no
DODGE Intrepid,3.2,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0215V30,large car,2,17,25,20,6,no
DODGE Intrepid,3.5,6,Auto-L4,2WD,Gasoline,CL,LEV,LEV,YCRXV0215V30,large car,2,16,24,19,5,no
DODGE Intrepid,2.7,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.7VB0,large car,0,18,27,21,6,no
DODGE Intrepid,2.7,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.7VB0,large car,0,18,27,21,6,no
DODGE Intrepid,3.2,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV03.5VB0,large car,0,17,25,20,6,no
DODGE Intrepid,3.5,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXV03.5VB0,large car,0,16,24,19,5,no
DODGE Neon,2,4,Auto-L3,2WD,Gasoline,CL,ULEV,ULEV,YCRXV0122V40,small car,3,22,28,24,7,no
DODGE Neon,2,4,Man-5,2WD,Gasoline,CL,LEV,LEV,YCRXV0122V30,small car,2,24,31,27,8,no
DODGE Neon,2,4,Auto-L3,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.0VB0,small car,0,22,28,24,7,no
DODGE Neon,2,4,Man-5,2WD,Gasoline,FA,T1,TIER 1,YCRXV02.0VB0,small car,0,24,31,27,8,no
DODGE RAM 1500,5.2,8,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YCRXA0360H31,pickup,1,12,17,14,2,no
DODGE RAM 1500,5.2,8,Auto-L4,4WD,Gasoline,CA,LEV,LEV,YCRXA0360H31,pickup,1,11,15,13,1,no
DODGE RAM 1500,5.9,8,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YCRXA0360H31,pickup,1,11,17,13,1,no
DODGE RAM 1500,5.9,8,Auto-L4,4WD,Gasoline,CA,LEV,LEV,YCRXA0360H31,pickup,1,11,16,13,1,no
DODGE RAM 1500,3.9,6,Man-5,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.95B2,pickup,0,13,19,15,3,no
DODGE RAM 1500,3.9,6,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT03.95B2,pickup,0,14,19,16,4,no
DODGE RAM 1500,3.9,6,Man-5,2WD,Gasoline,CA,T1,TIER 1,YCRXA0239H11,pickup,0,13,19,15,3,no
DODGE RAM 1500,3.9,6,Auto-L4,2WD,Gasoline,CA,T1,TIER 1,YCRXA0239H11,pickup,0,14,19,16,4,no
DODGE RAM 1500,5.2,8,Auto-L4,2WD,Gasoline,CA,LEV,LEV,YCRXA0360J31,pickup,0,12,17,14,2,no
DODGE RAM 1500,5.2,8,Auto-L4,4WD,Gasoline,CA,LEV,LEV,YCRXA0360J31,pickup,0,11,15,13,1,no
DODGE RAM 1500,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B1,pickup,0,12,17,14,2,no
DODGE RAM 1500,5.2,8,Man-5,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B1,pickup,0,12,18,14,2,no
DODGE RAM 1500,5.2,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B1,pickup,0,11,15,13,1,no
DODGE RAM 1500,5.2,8,Man-5,4WD,Gasoline,FA,T1,TIER 1,YCRXT05.95B1,pickup,0,12,16,13,1,no
DODGE RAM 1500,5.2,8,Auto-L4,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,pickup,0,12,17,14,2,no
DODGE RAM 1500,5.2,8,Man-5,2WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,pickup,0,12,18,14,2,no
DODGE RAM 1500,5.2,8,Auto-L4,4WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,pickup,0,11,15,13,1,no
DODGE RAM 1500,5.2,8,Man-5,4WD,Gasoline,FA,T1,TIER 1,YCRXT05.96B1,pickup,0,12,16,13,1,no
DODGE RAM 1500,5.2,8,Man-5,2WD,Gasoline,CA,T1,TIER 1,YCRXA0360H11,pickup,0,12,18,14,2,no
